Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2017,01,01,31.3,1,Y
IDCJAC0010,009225,2017,01,02,37.1,1,Y
IDCJAC0010,009225,2017,01,03,40.0,1,Y
IDCJAC0010,009225,2017,01,04,40.9,1,Y
IDCJAC0010,009225,2017,01,05,24.9,1,Y
IDCJAC0010,009225,2017,01,06,23.2,1,Y
IDCJAC0010,009225,2017,01,07,24.9,1,Y
IDCJAC0010,009225,2017,01,08,30.6,1,Y
IDCJAC0010,009225,2017,01,09,35.4,1,Y
IDCJAC0010,009225,2017,01,10,35.5,1,Y
IDCJAC0010,009225,2017,01,11,36.0,1,Y
IDCJAC0010,009225,2017,01,12,23.5,1,Y
IDCJAC0010,009225,2017,01,13,26.0,1,Y
IDCJAC0010,009225,2017,01,14,37.2,1,Y
IDCJAC0010,009225,2017,01,15,35.1,1,Y
IDCJAC0010,009225,2017,01,16,26.0,1,Y
IDCJAC0010,009225,2017,01,17,30.5,1,Y
IDCJAC0010,009225,2017,01,18,33.8,1,Y
IDCJAC0010,009225,2017,01,19,24.1,1,Y
IDCJAC0010,009225,2017,01,20,26.9,1,Y
IDCJAC0010,009225,2017,01,21,33.1,1,Y
IDCJAC0010,009225,2017,01,22,24.4,1,Y
IDCJAC0010,009225,2017,01,23,25.0,1,Y
IDCJAC0010,009225,2017,01,24,32.2,1,Y
IDCJAC0010,009225,2017,01,25,39.4,1,Y
IDCJAC0010,009225,2017,01,26,42.0,1,Y
IDCJAC0010,009225,2017,01,27,34.0,1,Y
IDCJAC0010,009225,2017,01,28,38.8,1,Y
IDCJAC0010,009225,2017,01,29,25.8,1,Y
IDCJAC0010,009225,2017,01,30,20.3,1,Y
IDCJAC0010,009225,2017,01,31,22.9,1,Y
IDCJAC0010,009225,2017,02,01,30.3,1,N
IDCJAC0010,009225,2017,02,02,31.8,1,N
IDCJAC0010,009225,2017,02,03,32.6,1,N
IDCJAC0010,009225,2017,02,04,27.6,1,N
IDCJAC0010,009225,2017,02,05,30.4,1,N
IDCJAC0010,009225,2017,02,06,34.1,1,N
IDCJAC0010,009225,2017,02,07,30.3,1,N
IDCJAC0010,009225,2017,02,08,26.6,1,N
IDCJAC0010,009225,2017,02,09,17.4,1,N
IDCJAC0010,009225,2017,02,10,22.4,1,N
IDCJAC0010,009225,2017,02,11,26.2,1,N
IDCJAC0010,009225,2017,02,12,28.3,1,N
